date,team,opponent,points,opponent_points,home,win,avg_pts_last5,avg_opponent_pts_last5,win_rate_last5,vs_opponent_win_rate
2025-10-29,Atlanta Hawks,Brooklyn Nets,117,112,0,1,113.8,120.4,0.4,1.0
2025-10-31,Atlanta Hawks,Indiana Pacers,128,108,0,1,115.8,114.4,0.6,1.0
2025-11-02,Atlanta Hawks,Cleveland Cavaliers,109,117,0,0,115.4,116.4,0.4,0.0
2025-11-04,Atlanta Hawks,Orlando Magic,127,112,1,1,120.8,115.4,0.6,1.0
2025-11-07,Atlanta Hawks,Toronto Raptors,97,109,1,0,115.6,111.6,0.6,0.0
2025-11-08,Atlanta Hawks,Los Angeles Lakers,122,102,1,1,116.6,109.6,0.6,1.0
2025-11-10,Atlanta Hawks,Los Angeles Clippers,105,102,0,1,112.0,108.4,0.6,1.0
2025-11-12,Atlanta Hawks,Sacramento Kings,133,100,0,1,116.8,105.0,0.8,1.0
2025-11-13,Atlanta Hawks,Utah Jazz,132,122,0,1,117.8,107.0,0.8,1.0
2025-11-16,Atlanta Hawks,Phoenix Suns,124,122,0,1,123.2,109.6,1.0,1.0
2025-11-18,Atlanta Hawks,Detroit Pistons,112,120,1,0,121.2,113.2,0.8,0.0
2025-11-20,Atlanta Hawks,San Antonio Spurs,126,135,0,0,125.4,119.8,0.6,0.0
2025-11-22,Atlanta Hawks,New Orleans Pelicans,115,98,0,1,121.8,119.4,0.6,1.0
2025-11-23,Atlanta Hawks,Charlotte Hornets,113,110,1,1,118.0,117.0,0.6,1.0
2025-11-25,Atlanta Hawks,Washington Wizards,113,132,0,0,115.8,119.0,0.4,0.0
2025-11-28,Atlanta Hawks,Cleveland Cavaliers,130,123,1,1,119.4,119.6,0.6,0.5
2025-11-30,Atlanta Hawks,Philadelphia 76ers,142,134,0,1,122.6,119.4,0.8,1.0
2025-12-01,Atlanta Hawks,Detroit Pistons,98,99,0,0,119.2,119.6,0.6,0.0
2025-12-03,Atlanta Hawks,Los Angeles Clippers,92,115,1,0,115.0,120.6,0.4,0.5
2025-12-05,Atlanta Hawks,Denver Nuggets,133,134,1,0,119.0,121.0,0.4,0.0
2025-12-06,Atlanta Hawks,Washington Wizards,131,116,0,1,119.2,119.6,0.4,0.5
2025-12-12,Atlanta Hawks,Detroit Pistons,115,142,0,0,113.8,121.2,0.2,0.0
2025-12-14,Atlanta Hawks,Philadelphia 76ers,120,117,1,1,118.2,124.8,0.4,1.0
2025-12-18,Atlanta Hawks,Charlotte Hornets,126,133,0,0,125.0,128.4,0.4,0.5
2025-12-19,Atlanta Hawks,San Antonio Spurs,98,126,1,0,118.0,126.8,0.4,0.0
